"Date2","Bitcoins"
2012-08-24,63.91868635
2012-08-25,371.04970105
2012-08-26,24.54452457
2012-08-27,152.06005035
2012-08-28,356.02348931
2012-08-29,14.23086433
2012-08-30,25.17045454
2012-08-31,153.93651546
2012-09-01,151.70334248
2012-09-02,113.28940075
2012-09-03,4.3008
2012-09-04,16.4638979
2012-09-05,79.98082206
2012-09-06,104.3059775
2012-09-07,44.76034535
2012-09-08,47.48900381
2012-09-09,49.81224209
2012-09-10,0.03200388
2012-09-11,95.46207697
2012-09-12,15.19232667
2012-09-13,12.43835988
2012-09-14,53.79039272
2012-09-15,207.29503511
2012-09-16,29.13227257
2012-09-17,202.0653046
2012-09-18,78.21486217
2012-09-19,116.71253257
2012-09-20,95.28513545
2012-09-21,452.31016324
2012-09-22,15.6105257
2012-09-23,102.96416573
2012-09-24,6.24719224
2012-09-25,44.18133531
2012-09-26,197.17259789
2012-09-27,52.30955931
2012-09-28,1.79758565
2012-09-29,28.97596564
2012-09-30,3.26330817
2012-10-01,3.95309701
2012-10-02,38.34151412
2012-10-03,2.81751278
2012-10-04,124.60954675
2012-10-05,149.86195389
2012-10-06,48.29445659
2012-10-07,507.82643217
2012-10-08,725.53323842
2012-10-09,66.45224837
2012-10-10,46.47238204
2012-10-11,121.28330169
2012-10-12,0
2012-10-13,0
2012-10-14,70.27367718
2012-10-15,25.26648987
2012-10-16,1.68550707
2012-10-17,12.31052922
2012-10-18,82.8886
2012-10-19,75.21863911
2012-10-20,0.73342466
2012-10-21,0.21194712
2012-10-22,5.15618358
2012-10-23,31.32093589
2012-10-24,119.79060343
2012-10-25,293.1890043
2012-10-26,686.56679281
2012-10-27,21.5699811
2012-10-28,0.38132282
2012-10-29,24.10909162
2012-10-30,16.12866018
2012-10-31,2487.43523973
2012-11-01,1729.46083173
2012-11-02,102.95196566
2012-11-03,660.45416279
2012-11-04,13.29730506
2012-11-05,119.08340447
2012-11-06,95.79340859
2012-11-07,0.61394722
2012-11-08,8.77319307
2012-11-09,2.88225547
2012-11-10,45.72763614
2012-11-11,0
2012-11-12,17.56416488
2012-11-13,22.91172181
2012-11-14,0.70080447
2012-11-15,1.66562491
2012-11-16,35.74561447
2012-11-17,30
2012-11-18,88.59646335
2012-11-19,22.14785636
2012-11-20,6.11585444
2012-11-21,139.78448499
2012-11-22,21.03134971
2012-11-23,6.92162375
2012-11-24,52.48897542
2012-11-25,261.81395709
2012-11-26,92.97107532
2012-11-27,4.19039014
2012-11-28,140.57417945
2012-11-29,0.29015992
2012-11-30,32.75821685
2012-12-01,0.01
